,,,
,t,x,y
,2.45E+01,2.93E-02,-0.334
,2.46E+01,2.94E-02,-0.334
,2.46E+01,2.95E-02,-0.334
,2.46E+01,2.96E-02,-0.334
,2.47E+01,2.99E-02,-0.334
,2.47E+01,3.01E-02,-0.334
,2.47E+01,3.03E-02,-0.334
,2.48E+01,3.06E-02,-0.334
,2.48E+01,3.09E-02,-0.334
,2.48E+01,3.12E-02,-0.334
,2.49E+01,3.15E-02,-0.334
,2.49E+01,3.17E-02,-0.334
,2.49E+01,3.21E-02,-0.334
,2.50E+01,3.24E-02,-0.334
,2.50E+01,3.26E-02,-0.334
,2.50E+01,3.28E-02,-0.334
,2.51E+01,3.30E-02,-0.334
,2.51E+01,3.32E-02,-0.334
,2.51E+01,3.33E-02,-0.334
,2.52E+01,3.34E-02,-0.334
,2.52E+01,3.35E-02,-0.334
,2.52E+01,3.35E-02,-0.334
,2.53E+01,3.35E-02,-0.334
,2.53E+01,3.33E-02,-0.334
,2.53E+01,3.34E-02,-0.334
,2.54E+01,3.44E-02,-0.334
