,,
t,x,y
26.686,4.02E-02,-0.277
26.72,4.14E-02,-0.277
26.753,4.27E-02,-0.276
26.786,4.33E-02,-0.276
26.82,4.45E-02,-0.275
26.853,4.57E-02,-0.275
26.886,4.69E-02,-0.274
26.92,4.81E-02,-0.274
26.953,4.93E-02,-0.273
26.986,5.05E-02,-0.272
27.02,5.17E-02,-0.271
27.053,5.28E-02,-0.271
27.086,5.44E-02,-0.27
27.12,5.55E-02,-0.269
27.153,5.65E-02,-0.269
27.187,5.80E-02,-0.267
27.22,5.90E-02,-0.267
27.253,6.05E-02,-0.265
27.287,6.14E-02,-0.265
27.32,6.29E-02,-0.263
27.353,6.37E-02,-0.263
27.387,6.51E-02,-0.262
27.42,6.63E-02,-0.261
27.453,6.70E-02,-0.26
27.487,6.82E-02,-0.259
27.52,6.94E-02,-0.258
27.553,7.00E-02,-0.257
27.587,7.11E-02,-0.255
27.62,7.21E-02,-0.255
27.654,7.30E-02,-0.253
27.687,7.36E-02,-0.252
27.72,7.45E-02,-0.251
27.754,7.54E-02,-0.25
27.787,7.63E-02,-0.249
27.82,7.69E-02,-0.248
27.854,7.80E-02,-0.246
27.887,7.87E-02,-0.245
27.92,7.95E-02,-0.244
27.954,8.04E-02,-0.243
27.987,8.12E-02,-0.242
28.02,8.20E-02,-0.241
28.054,8.28E-02,-0.239
28.087,8.36E-02,-0.238
28.121,8.44E-02,-0.237
28.154,8.51E-02,-0.236
28.187,8.60E-02,-0.234
28.221,8.68E-02,-0.233
28.254,8.75E-02,-0.231
28.287,8.81E-02,-0.23
28.321,8.87E-02,-0.229
28.354,8.93E-02,-0.227
28.387,8.99E-02,-0.226
28.421,9.05E-02,-0.225
28.454,9.11E-02,-0.223
28.487,9.17E-02,-0.222
28.521,9.21E-02,-0.221
28.554,9.25E-02,-0.219
28.588,9.30E-02,-0.218
28.621,9.62E-02,-0.217
28.654,9.66E-02,-0.215
28.688,9.69E-02,-0.214
28.721,9.73E-02,-0.213
28.754,9.77E-02,-0.212
28.788,9.79E-02,-0.21
28.821,9.83E-02,-0.209
28.854,9.86E-02,-0.208
28.888,9.88E-02,-0.206
28.921,9.91E-02,-0.205
28.954,9.93E-02,-0.204
28.988,9.95E-02,-0.202
29.021,9.97E-02,-0.201
29.055,9.99E-02,-0.199
29.088,1.00E-01,-0.198
29.121,0.1,-0.196
29.155,0.1,-0.195
29.188,0.1,-0.194
29.221,0.1,-0.192
29.255,1.00E-01,-0.191
